application_proccess,company,interview_description,interview_difficulty,interview_experience,interview_questions,job_title,offer_status,review_date
"I applied through college or university. The process took 6 weeks. I interviewed at Zillow (Seattle, WA) in December 2017.",Zillow,"Attended a recruiting event at my college and handed a resume to a recruiter. Received a Hackerrank coding challenge the next day, and completed that. Then a recruiter scheduled a 3-hour interview with me. A week after the interview I got my offer. At the onsite interview, I talked to three different engineers for an hour each.",Average Interview,Positive Experience," Each interview started with some questions about my experience. After that I got a very simple warmup question followed by a medium difficulty question. There 3 array questions that were below the difficulty of hard questions on LeetCode.   ,1 Answer",Software Engineer,Declined Offer," Jan 4, 2018"
"I applied online. The process took 3 weeks. I interviewed at Zillow (Seattle, WA) in December 2017.",Zillow,"Two code challenges done in language of choice, with 48 hour deadline from start. Once past those, a phone/shared screen code challenge with an interviewer who was not helpful and didn't explain very well what they wanted.",Average Interview,Negative Experience,,SDE1,No Offer," Jan 5, 2018"
I applied online. I interviewed at Zillow in December 2017.,Zillow,"Applied online, they got back to me within a month sending me a hackerrank which was straightforward. Next was a phone interview which was half resume half technical. Next step is an onsite interview in Seattle. They fly out potential interns which is really nice. Still have to do the onsite, but so far everyone has been extremely friendly and helpful. Recruiter would get back to me within the day if I had any questions.",Easy Interview,Positive Experience," Typical tree questions/data structure questions.   ,Answer Question, A bit manipulation question/parsing from string to number.   ,Answer Question",Software Development Engineer,No Offer," Jan 8, 2018"
"I applied online. The process took 6+ weeks. I interviewed at Zillow (New York, NY) in December 2017.",Zillow,"Really bummed to be honest. I applied for the position in NYC. I currently live in Alabama but had living arrangements in place to move up there. I let them know about my location on the first interview. They said it wouldn't be a problem and that they would simply do a video conference interview in place of an in person interview. They said it was common and won't be a problem. I got the second interview and it went great. A recruiter followed up the following week saying they wanted to have the final interview and asked when I could visit the office. I told them the first recruiter said I could do a video conference interview. That didn't seem to be a problem until an hour later the recruiter said the sales team changed their mind on the video conference interview. From here everything spiraled out of control. It took weeks for the recruiters and the sales teams to communicate. A recruiter setup a phone call for me to speak with a sales manager and that they would have a solution for the situation. The sales manager instead ran me through an interview and at the end said the recruiters would decide what would be done for the final interview.,It has been weeks and the recruiter finally told me I would have to fly up for the interview or they would just have to go with someone else.,In the end I think it's important for people and business to own their mistakes. The teams didn't communicate well with each other and expected me to compromise for their mistake.,Zillow looks like a great company. I'm upset things didn't turn out differently. Unfortunate to perform well and not get an opportunity for circumstances out of your control.",Average Interview,Negative Experience," Experience with sales quota?   ,Answer Question, Tell me about a time you went above and beyond for a customer.   ,Answer Question, why Zillow?   ,Answer Question, what can you contribute?   ,Answer Question",Sales Executive,No Offer," Jan 17, 2018"
"I applied online. The process took 4+ weeks. I interviewed at Zillow (Seattle, WA).",Zillow,"1st, online asssessment.,2nd, phone screen.,final round: 4 rounds tech interviews + lunch.,Solve all the algorithm problems in the best way, but still get rejected. The rejection reason they gave to me is somewhat hilarious: the solution is not efficient, I am 100% sure that all of my solutions are efficient, they may just want to reject me for whatever reason.",Average Interview,Negative Experience," signed NDA.   ,Answer Question",Software Engineer,No Offer," Nov 23, 2017"
The process took 2+ months. I interviewed at Zillow.,Zillow,"My interview experience with Zillow was unfortunately one of the worst I've had - so much so that I ultimately withdrew from the process, despite initially being quite excited about the opportunity and having strong qualifications for the role.,While there were a number of issues along the way, the biggest problem for me overall was definitely the timeline the team seemed to think was acceptable for a hiring process. After an initial email of interest from a recruiter, it took ~10 days to finally have a phone screen with said recruiter. It then took several weeks to get a phone screen with the hiring manager, another several weeks for the 1st in-person loop, etc. Uber literally hired a new CEO in less time than I interacted with Zillow.,I also received no feedback during the waiting periods of 10+ days between each stage, which in my personal experience of hiring teams is in rather poor taste. Perhaps strangest of all, when I did receive feedback it was overwhelmingly positive at every stage. Keeping a candidate you're excited about in the dark for long periods and ultimately stringing them along for months seems a very strange hiring strategy.,At the end of the day, I felt the team was either not being transparent with me about concerns they had with my candidacy, and / or that the hiring manager really didn't have a good sense of overall team needs and how to hire for them. Either way, sadly not something I could feel excited to be a part of.",Average Interview,Negative Experience," standard   ,1 Answer",Performance Marketing,No Offer," Nov 8, 2017"
"I applied through an employee referral. I interviewed at Zillow (San Francisco, CA).",Zillow,"1st round: Phone screen - basic questions about past projects, experience, interests within SWE,2nd round: Batch day that students were flown in for. Two back to back technical interviews in the morning, engineering presentation, and finally a group project to work on",Average Interview,Positive Experience," Write a method to determine if a string2 is a substring of string1?   ,2 Answers",Software Engineering,Accepted Offer," Nov 9, 2017"
"I applied online. The process took 2 weeks. I interviewed at Zillow (Seattle, WA).",Zillow,"Great experience! 20 minute phone screening with a recruiter who set up two separate ""coffee"" interviews, one with a member of the team and the other with a hiring manger. Was assigned a project with a week turnaround time. Received an offer shortly after.",Average Interview,Positive Experience," Share about your intake process if starting a project from the beginning. What types of information would you request?   ,Answer Question",Instructional Designer (Contract),Accepted Offer," Nov 7, 2017"
"I applied online. The process took 2+ months. I interviewed at Zillow (Seattle, WA) in November 2017.",Zillow,"2 phone interviews and 1 onsite,General algorithm coding problems, similar to other companies like Amazon, Microsoft,2 phone interviews with 1 hour each,Then I went to Onsite. 3/4 are very similar to Phone interviews. 1 is project discuss and design.",Easy Interview,Positive Experience," similar to Binary search, LCA Tree, 1st unique character, add one, design database tables   ,Answer Question",Software Engineer,No Offer," Nov 16, 2017"
"I applied online. The process took 1+ week. I interviewed at Zillow (New York, NY) in November 2017.",Zillow,"Within 2 days of applying on -line a recruiter reached out. We coordinated a time for a phone screening. The screening had seemed to have gone well, I was told they would communicate with the hiring manager to schedule another phone interview and that I would hear within the next 48 hrs at the latest. After 2 days of not hearing anything I messaged the recruiter. A day later I received a generic e-mail stating they had moved forward with other candidates.",N/A,Neutral Experience," How comfortable was I with traveling?   ,1 Answer",Enterprise Account Executive,No Offer," Nov 19, 2017"
I applied online. The process took 4 weeks. I interviewed at Zillow in November 2017.,Zillow,"The recruiter reached out to me and asked some basic behavioral questions and past experience. Then asked me to do an assessment related to housing price and told they will move candidates forward in the process upon completion.,I was given a week to finish it and I submitted the answer as soon as possible in a very neat published notebook because I really like Zillow and I appreciate the opportunity.,However, one month after I submitted the answer to the recruiter, there's no response at all. Not a confirmation email of receiving documents, not even an automatically rejection email. Follow up after 3 weeks, still no response. I am really disappointed with the unprofessional recruiter at Zillow.,Time is precious.,Please respect your candidates.",Easy Interview,Negative Experience," Why Zillow?   ,Answer Question",Data Analyst,No Offer," Jan 17, 2018"
I applied through college or university. The process took a week. I interviewed at Zillow in November 2017.,Zillow,"I gave my resume in a university career fair and got an email within a week arranging a phone interview. No technical questions were asked. I don't know on what basis they decided, it was a 10 minute interview.",Average Interview,Neutral Experience," Basic questions about background and some specific things about resume.,The interviewer asked me if I would be comfortable moving to SF and what were my plans for grad school.   ,Answer Question",Intern,No Offer," Jan 22, 2018"
"I applied online. The process took 2 weeks. I interviewed at Zillow (New York, NY).",Zillow,"I applied for the job online, got an email from the recruiting coordinator to schedule the initial screening with a recruiter. A few logistical issues after, recruiter from West Coast called. The conversation was very casual with some questions about experience and overall fit. An hour later I received an email with an invite to another step of the process - phone interview with the NYC hiring manager. We scheduled it for an early morning but the hiring manager didn't call. Since all the coordinating was taking place on the West Coast, I didn't hear back until noon EST that something popped up. Got the interview rescheduled for the following day and then the hiring manager called me half an hour prior to our scheduled time. It seemed like the call was a chore the hiring manager wasn't happy about. Super disinterested, the hiring manager kept getting texts (the phone was on silent and the earphone mic was getting the vibrations) which was extremely distracting. I'm just hoping it was a tactic not their MO because they seem like an awesome place to work.",Easy Interview,Negative Experience," Q: Tell me about a time you worked hard.   ,Answer Question",Enterprise Sales Executive,No Offer," Oct 24, 2017"
I applied online. The process took 2 weeks. I interviewed at Zillow.,Zillow,"I was shortlisted after applying online on their website. The recruiter wanted to schedule me for a phone screening with the HR. During my phone interview the HR was extremely cold and seemed rushed. She talked really fast and almost like reading a script with no pauses nor giving me the opportunity to absorb and ask any questions. We had a 30 minutes and she tried to finish it in 20. After the call, I received an email after 10 days from the HR that ""you are not selected and we are going to move forward with finalists that are a stronger fit to our current needs"". I certainly felt it was a blunt way to send a rejection email and I'd also like to understand what knowledge the HR has about a profile so technical and analytical to even make that decision.",Average Interview,Negative Experience," Q: What is your management style?,Q: Why are you looking for a new job?,Q: Why have you worked only for 2 years at your previous role. You seem to move jobs fast?   ,1 Answer",Senior Online Marketing Manager,No Offer," Oct 20, 2017"
"I applied through an employee referral. The process took 2 weeks. I interviewed at Zillow (Seattle, WA).",Zillow,"The hiring process was simple; phone screen with a recruiting manager and an onsite interview. 3 former recruiters who had formerly worked at my current company took their time to rant about their experience at my company. There was limited exchange or interest in what I could do, rather they vented about how awful their time was at my current employer. It was awkward and clear that they didn’t have any interest in speaking with or learning about me. Then they called me to tell me they didn’t feel like I wanted to continue my career path. I was surprised they extrapolated that info, given they shared nonstop about how much they dispised my company. It felt like a first date with a person who isn’t over their ex. I had to laugh— it was clearly an example of ‘interviews from hell.’",Easy Interview,Negative Experience," What do you do to ensure a strong sense of team?   ,Answer Question, Tell me about a tough hiring manager?   ,Answer Question, Tell me the best place to find candidates?   ,Answer Question",Recruiter,No Offer," Oct 9, 2017"
The process took 4+ weeks. I interviewed at Zillow.,Zillow,"Recruiter screening which was going through my experiences and ensuring that I’m a fit,Hiring manager round was farcical as it ended within 10 minutes not willing to get into depth and showing that not working for that person was a blessing in disguise",Easy Interview,Negative Experience," Resume walkthrough   ,Answer Question, Favorite product and why   ,Answer Question",Senior Product Manager,No Offer," Oct 6, 2017"
"I applied online. The process took 3 weeks. I interviewed at Zillow (Centennial, CO) in October 2017.",Zillow,"The initial phone interviews with a recruiter and sales manager were the only positive experiences. They were great to speak with and quite friendly. Anyways, I have a successful track record of selling online advertising space for real estate and business license(s) to real estate agents and owners. I also posses a real estate license and a have silver tongue. To say that I was qualified for the role is an understatement.,The feedback was that I was too ""low energy"" and that I didn't perform as well as they would have liked while role playing. Prior to my final on site interview I ran into a disastrous situation in attempting to get home from a long time planned family event. Three flight cancellations and numerous flight delays landed me back in Denver nearly 36 hours after I was supposed to arrive. This left me with less than 10 hours before my interview. I was stressed and under much duress. The last thing I wanted to do was reschedule the interview and figured making all 3 interviewers aware of the situation would help them understand. The feedback that I received felt like a slap in the face given my situation. I was the first to admit that I was not on my A game. I reiterated how much the role meant to me numerous times (hence why I didn't reschedule when I should have) and that I had honestly ran into an awful situation prior to the interview.,I signed an NDA as if we were actually going to discuss real business. Instead I felt like I was 16 years old again interviewing for a position at Abercrombie. What type of cereal best describes your personality? Why? type questions. The first gentleman that I interviewed with was a brick wall and I couldn't help but feel that he hated his life. Maybe its because of the office location. C'mon Zillow Group, you violated the first 3 rules of real estate with your site selection,1. Location 2. Location 3. Location Have you not heard of DOWNTOWN DENVER or BOULDER? You picked the absolute worst location in the Denver Metro Area in back February of 2016. CENTENNIAL????? DTC AREA???? No amount of top golf or green Kool-Aid can make up for that move. I felt an acute sense of depression setting in as I neared the office location.,I did proceed to pick up "" Zillow Talk: The New Rules of Real Estate"" off my coffee table (I presume that I have read it more times than most in the office) after receiving the news and ripped it apart which felt great!,If you are an alpha, down to business, top performer I think that Zillow Group will really cramp your style. If you are a beta, ping pong during work, 5 figure settler that loves to kiss butt then I think Zillow Group would love to have you.",Average Interview,Negative Experience," What do you know about Zillow?   ,1 Answer","Sales Executive, Premier Agent",No Offer," Oct 10, 2017"
"I applied through college or university. The process took 3 weeks. I interviewed at Zillow (Columbus, OH) in October 2017.",Zillow,"Probably one of my more frustrating experiences...really bad HR.,Applied through my university career engine.,Contacted for an on-campus interviews that wen really well, one of the most enjoyable interviews I've ever had. Conversation about resume, some statistics and databases problem solving tasks. I would say I did a pretty good job, 9/10.,Contacted a week later to complete a take home exercise. Nice challenge that was useful in getting a taste of problems Zillow Group solves. Pretty sure I got everything right and presented it very nicely.,Was told that I'd be contacted within a week for an update. The week ended and so I followed up with the University Recruiting Coordinator to kindly ask for a timeline because I had other offers offers on the table that I needed to manage. I was responded to 15 minutes later with a canned response rejection that was clearly just copied and pasted - no regard for the person on the other end. The title of the email made mention of a role I hadn't applied for!,After several weeks of hard work in interviews, hours spent on the problem-solving tasks, communication back and forth, thank-you letters, etc. all I expected back was to be treated as a human and a student who is putting in hard work and effort, but instead I was just treated as a disposable resource and done away with in a few minutes. Extremely frustrating experience, I felt as though I was disqualified for no reason.,Absolutely unacceptable.",Average Interview,Negative Experience," Statistics and database questions   ,Answer Question",Data Analyst,No Offer," Oct 21, 2017"
"I applied online. The process took 4+ weeks. I interviewed at Zillow (Seattle, WA) in October 2017.",Zillow,"I applied in Seattle in September 2017, the whole process from application to offer took 1 month. The interview experience was very positive! Everyone was very friendly and made me feel very welcome. Getting the decision took longer than they originally estimated, but they made sure I was in the loop the whole time.",Average Interview,Positive Experience," A lot of questions about why I wanted this job (no previous recruiting experience). And a lot of questions about task management and scheduling experience.   ,Answer Question",Recruiting Coordinator,Accepted Offer," Oct 24, 2017"
"I applied through a recruiter. The process took 1+ week. I interviewed at Zillow (Seattle, WA) in October 2017.",Zillow,"I reached out via email to a recruiter I had met while interviewing there for a internship last summer. While the recruiter had since left the company, another responded and sent me the coding challenge. After the coding challenge, they wanted a phone screen. However, they allowed me to skip this and move right into an onsite interview in Seattle due to my existing travel plans and offer deadlines. I was very impressed with them for being so accommodating - from the completion of the coding challenge, they got me through the entire interview process in 10 days. The onsite interview itself consisted of ~4 interviews, with a break for lunch in the middle, during which a recent hire at Zillow kept me company. At the end of the interviews, the recruiter sat me down and told me initial feedback looked good. Within a couple of days after the interview they came back with an offer - overall, one of the most efficient and least painful interview processes I have experienced.",Average Interview,Positive Experience," Q: What do you think Zillow values?   ,1 Answer",Software Engineer,Accepted Offer," Nov 28, 2017"
"I applied online. I interviewed at Zillow (Seattle, WA) in October 2017.",Zillow,"I honestly knew I didn’t get the job before I even interviewed. I just had a feeling as the process felt like I was pulling teeth and I felt “dismissed” right off the bat.,I received interest from a recruiter a week or so after applying online. The phone screen with the recruiter itself took a few tries to coordinate with me having to continually check in to see if my emails were received and if date/timing worked on their end.,After the phone screen, which took a week and a half later to finally nail down as the recruiter mentioned she was very busy, I got a call with the hiring manager. This also took a few tries as well as it was cancelled twice before it actually happened...a few hours prior to the actual scheduled interview., When I finally was able to chat with the hiring manager, it lasted 15 min out of the 30 it was scheduled for. The hiring manager was very short, asked about my background (in which I’m very qualified for as my previous roles were extremely similar to what I was applying for) and then told me she had a lot of other people to get through without asking if I even had questions for her or about the role. Needless to say, I didn’t get an in person interview but no surprise there. I’m not the best at interviews but I didn’t even get a chance to mess it up. I simply felt I was inconveniencing them the entire time. Super bummed. I follow Zillow as a company and having been awaiting an opportunity to get my foot in the door for awhile, but I really want someone who is excited by me and my qualifications at least a little.",N/A,Negative Experience," Tell me about your background, why Zillow, particular questions related to certain job roles.   ,Answer Question",Marketing,No Offer," Oct 20, 2017"
"I applied online. I interviewed at Zillow (Irvine, CA) in October 2017.",Zillow,"I applied through Indeed, took a personality assessment online, received an email for a phone interview. They emailed me back saying that they went with another candidate for the position.",Average Interview,Neutral Experience," Basic phone interview questions. Tell me about yourself, why do you want to work at Zillows, tell me about your work history, etc.   ,Answer Question",Sales Executive,No Offer," Oct 31, 2017"
"I applied online. I interviewed at Zillow (New York, NY) in October 2017.",Zillow,"The interview process was very pleasant. It consisted of two phone interviews and one in person. During the in-person, I interviewed one on one with multiple people on the management team. Each person had a genuine approach to the interview process (be prepared and flexible is my best advise).",Average Interview,Positive Experience," Why Zillow?,Walk me through your resume?,What qualities do you feel you can bring to the team?   ,Answer Question",Business Consultant,Accepted Offer," Nov 2, 2017"
"I applied online. The process took 4 weeks. I interviewed at Zillow (Seattle, WA) in October 2017.",Zillow,Over the phone talk with Internal Mobility Specialist. Then I had a in office chat for 15 minutes with a hiring manager. After that I had 3 interviews back to back in office. The main question was 'why do you want this job.',Difficult Interview,Positive Experience," Why do you want the job?   ,1 Answer, What will you do if this job does not work out?   ,1 Answer",Sales Executive,Accepted Offer," Nov 9, 2017"
I applied through college or university. I interviewed at Zillow in October 2017.,Zillow,"I did not believe that the process can be this fast. HR has been so helpful and very responsive. This company does care a lot for its employees and do everything to make your experience from the earlies stages, from the first interview as smooth as possible.,I learnt that Zillow is coming to attend a techtalk in a local university in Boston, so I attended it and before attending it I sent my resume to their database, and luckily was able to interview with them the next day after the techtalk.,The interview experience over all was extremely pleasant and very quick! The first interview in person after the tech talk was 45 minutes long: consisted of mainly why am I interested in this position, walking through my resume and at the end I had a problem which was not too hard and aimed to evaluate my analytical thinking skills.,The amazing part is that I heard back in couple of days to schedule next interview. It was three hour long video interview. It might seem that it is long, but the time passed by very quickly and questions were aligned in a way that behavioral are mixed with technical, so you kind of relax for a bit during behavioral questions. During that video conference, I spoke with four people in the team, first two were mainly consisting of technical questions, one coding, two analytical problems, walking through resume and talking about my previous experiences. Third one was easy SQL question, one probability question and a quick Q&A. The last one was with the senior manager of the team, so it was mainly consisting of behavioral questions, company fit.,I did not believe when I read here on Glassdoor that the process is this fast. In a week, I heard back to schedule another interview over the phone, a quick one with the VP. It was again questions about company fit and how much I know about the company.,I always loved the company's mission and followed CEO's podcast for quite a while now, so I believe that helped me in the process. And I got my offer in a week from my last interview :)",Average Interview,Positive Experience," Who is one of the competitors of Zillow?   ,Answer Question",Pricing Analyst,Accepted Offer," Dec 14, 2017"
"I applied through a recruiter. The process took a week. I interviewed at Zillow (Seattle, WA) in October 2017.",Zillow,"4 x 1 hour long interviews testing coding, design, and leadership skills.,I have interviewed at over 30 companies, and this was the best interview process I have ever had. The recruiter was very open and kept me aware and up to date with what was going on their end. When they say that they are a transparent company, they are, and I appreciated that.",Average Interview,Positive Experience," The gave me a design problem that they were dealing with earlier in the year. The question was well presented and open ended.   ,Answer Question",Software Development Manager,Accepted Offer," Jan 10, 2018"
N/A,Zillow,"Phone screen from HR, and then a mini case test, and then the phone screen from hiring manager, and last the onsite interview. The whole process takes like about 1 months.",Average Interview,Neutral Experience," Do you know what's income model of Zillow   ,Answer Question",Data Analyst,Accepted Offer," Sep 24, 2017"
"I applied online. I interviewed at Zillow (Seattle, WA).",Zillow,"Fairly straight forward and to the point. I had to nag them a little bit just to reassure that they would be on top of scheduling interviews and such. I can be rather impatient when it comes to those things, however.",Easy Interview,Positive Experience," Asked me why I thought I could be a good fit for their team and what not.   ,1 Answer",Sales,Declined Offer," Sep 11, 2017"
"I applied through an employee referral. The process took 2+ weeks. I interviewed at Zillow (Denver, CO) in September 2017.",Zillow,"I wanted to share my experience on here because all of the other reviews on here really helped me prepare for my interviews!,I was referred to the job by a current employee and I was almost immediately contacted by the recruiter to set up a phone interview. The phone interview lasted about 15 minutes and I was told more about the position, the pay, and the hours as well as asked a few questions. I was asked to come in for an onsite interview for the following week. The onsite interview lasted about 2 hours and I was interviewed by 2 team leads and 1 hiring manager. During the onsite interview, I was given a tour of the building as well which made me even more excited to hopefully start at this company.,At the end of the onsite interview, I was told that the recruiter would contact me in the next few days. Well, a few days rolled around, then a week, then 9 days - I still hadn't heard anything. I finally got a call 10 days after my interview and was offered the position. I know I have read some reviews on here talking about how the recruiter took a long time to call when they were told it would be a few days. The recruiter told me there had been some things that had to be rearranged and that is why it took so long. So if it is taking a long time, just wait it out, they will call!",Average Interview,Positive Experience," Why do you want to work for Zillow? What do you know about the company?   ,Answer Question, How do you make repetitive work day fun?   ,Answer Question, Talk about a time when you worked as a team with others   ,Answer Question, Talk about a time, outside of your job, when you helped someone accomplish something that they wouldn't have been able to accomplish without your help   ,Answer Question, Why are you leaving your current job?   ,Answer Question",Associate Client Engagement Specialist,Accepted Offer," Sep 14, 2017"
